category_key,key,url,enabled
HHP,trend,https://www.bestbuy.com/discover/trending-deals/trending-deals-cell-phones-accessories/pcmcat1752522354177,true
TV,promotion,https://www.bestbuy.com/site/all-electronics-on-sale/all-tv-home-theater-on-sale/pcmcat1690836748285.c?id=pcmcat1690836748285,true
TV,trend,https://www.bestbuy.com/discover/trending-deals/trending-deals-tvs-projectors/pcmcat1752523988655,true
